pick,chase_value
1,1000.0
2,956.7084
3,917.6105
4,882.0993
5,849.6806
6,819.9502
7,792.572
8,767.2661
9,743.7948
10,721.9568
11,701.5795
12,682.5145
13,664.6333
14,647.8237
15,631.9882
16,617.0398
17,602.9034
18,589.5118
19,576.8036
20,564.7258
21,553.2309
22,542.2755
23,531.8212
24,521.8316
25,512.2757
26,503.1239
27,494.3513
28,485.9321
29,477.8452
30,470.0694
31,462.588
32,455.382
33,448.4372
34,441.7376
35,435.2704
36,429.0234
37,422.9853
38,417.1439
39,411.491
40,406.0153
41,400.7098
42,395.5655
43,390.5756
44,385.7318
45,381.028
46,376.4582
47,372.0162
48,367.6962
49,363.4926
50,359.4019
51,355.4186
52,351.5383
53,347.757
54,344.0705
55,340.4754
56,336.9682
57,333.545
58,330.2035
59,326.94
60,323.7522
61,320.637
62,317.5914
63,314.614
64,311.7024
65,308.8529
66,306.0647
67,303.3355
68,300.6631
69,298.0459
70,295.4825
71,292.9705
72,290.5085
73,288.0949
74,285.7282
75,283.407
76,281.1304
77,278.8962
78,276.7036
79,274.5519
80,272.4388
81,270.3643
82,268.3268
83,266.325
84,264.3587
85,262.4265
86,260.5268
87,258.6604
88,256.8243
89,255.0192
90,253.2444
91,251.4976
92,249.7796
93,248.0895
94,246.426
95,244.7882
96,243.1768
97,241.5897
98,240.0269
99,238.4882
100,236.9722
101,235.4797
102,234.0084
103,232.5591
104,231.1309
105,229.7232
106,228.3359
107,226.9682
108,225.6195
109,224.2898
110,222.9789
111,221.6855
112,220.4094
113,219.1515
114,217.9095
115,216.685
116,215.4763
117,214.2835
118,213.1058
119,211.9441
120,210.7967
121,209.6637
122,208.5458
123,207.4416
124,206.351
125,205.274
126,204.2099
127,203.1594
128,202.121
129,201.0955
130,200.082
131,199.0807
132,198.0915
133,197.1137
134,196.1472
135,195.1913
136,194.2468
137,193.3136
138,192.3902
139,191.4775
140,190.5745
141,189.6822
142,188.7997
143,187.9263
144,187.0628
145,186.2083
146,185.3637
147,184.5273
148,183.7009
149,182.882
150,182.0721
151,181.2714
152,180.4782
153,179.6934
154,178.9161
155,178.1471
156,177.3865
157,176.6327
158,175.8872
159,175.1485
160,174.4174
161,173.6931
162,172.9764
163,172.2664
164,171.5633
165,170.867
166,170.1775
167,169.4941
168,168.8175
169,168.1477
170,167.4832
171,166.8255
172,166.1738
173,165.5282
174,164.8887
175,164.2545
176,163.6263
177,163.0034
178,162.3866
179,161.775
180,161.1696
181,160.5686
182,159.973
183,159.3827
184,158.7976
185,158.2179
186,157.6427
187,157.0728
188,156.5074
189,155.9473
190,155.3918
191,154.8401
192,154.2944
193,153.7525
194,153.2151
195,152.6815
196,152.1533
197,151.6288
198,151.1088
199,150.5934
200,150.0818
201,149.5739
202,149.0706
203,148.5711
204,148.0754
205,147.5842
206,147.096
207,146.6124
208,146.1318
209,145.655
210,145.1827
211,144.7135
212,144.2473
213,143.7856
214,143.3269
215,142.8713
216,142.4202
217,141.9714
218,141.5264
219,141.0844
220,140.6462
221,140.211
222,139.7788
223,139.3497
224,138.9236
225,138.5013
226,138.0812
227,137.6642
228,137.251
229,136.84
230,136.4321
231,136.0271
232,135.6245
233,135.2249
234,134.8283
235,134.4347
236,134.0435
237,133.6552
238,133.2692
239,132.8862
240,132.5055
241,132.1271
242,131.7517
243,131.3786
244,131.0085
245,130.6399
246,130.2744
247,129.9118
248,129.5508
249,129.1921
250,128.8364
251,128.4822
252,128.131
253,127.7821
254,127.4347
255,127.0903
256,126.7475
257,126.4076
258,126.0693
259,125.7333
260,125.3995
261,125.0673
262,124.7373
